"","Municipi","Any","Comarca","Població","paper_cartro","vidre","envasos","piles","kg_hab_any_recollida","rs_rm","suma_fraccio_resta","kg_hab_any","model_rs","percentatge_poblacio_pap","fraccions_pap"
"403","Alcanar",2002,"Montsià",8032,101.22,111.06,25.85,0.94,64.34,10.22,4538.98,629.45,NA,0,NA
"404","Alcanar",2003,"Montsià",8738,101,109.72,30.91,0.47,66.85,11.86,4340.94,563.64,NA,0,NA
"405","Alcanar",2004,"Montsià",8868,125.16,110.44,41.99,0.15,84.37,14.11,4552.78,597.77,NA,0,NA
"406","Alcanar",2005,"Montsià",9311,121.54,129.38,49.78,0.38,84.27,14.6,4588.51,577.08,NA,0,NA
"407","Alcanar",2006,"Montsià",9620,110.62,130.64,60.77,0.1,86.99,16.45,4251.68,528.95,NA,0,NA
"408","Alcanar",2007,"Montsià",9969,123.85,170.21,70.27,0.25,92.43,15.09,5185.35,612.58,NA,0,NA
"409","Alcanar",2008,"Montsià",10510,346.29,219.58,216.19,0.42,202.24,34.29,4073.96,589.86,NA,0,NA
"410","Alcanar",2009,"Montsià",10570,299.36,262.98,277.19,0.48,288.04,43.84,3899.56,656.97,NA,0,NA
"411","Alcanar",2010,"Montsià",10545,306.43,247.97,288.08,0.29,248.88,43.19,3452.22,576.26,NA,0,NA
"412","Alcanar",2011,"Montsià",10601,305.46,239.54,291.32,0.42,260.3,48.32,2951.58,538.72,NA,0,NA
"413","Alcanar",2018,"Montsià",9402,257.28,250.44,277.29,0.41,315.04,43.67,3821.24,721.47,NA,0,NA
"414","Alcanar",2015,"Montsià",9603,226.91,241.9,255.04,0.48,291.04,45.23,3383.87,643.42,NA,0,NA
"415","Alcanar",2012,"Montsià",10658,268.98,234.44,276.91,0.6,223.05,44.41,2975.75,502.25,NA,0,NA
"416","Alcanar",2016,"Montsià",9494,234.7,234.65,253.66,0.63,262.83,42.48,3378.37,618.68,NA,0,NA
"417","Alcanar",2013,"Montsià",10389,264.73,247.09,256.74,0.57,238.53,45.12,3013.9,528.63,NA,0,NA
"418","Alcanar",2014,"Montsià",9637,235.67,224.9,244.37,0.86,263.95,44.99,3110.33,586.7,NA,0,NA
"419","Alcanar",2019,"Montsià",9418,273.38,309.15,325.17,0.41,343.77,52.28,2955.61,657.6,NA,0,NA
"420","Alcanar",2017,"Montsià",9393,229.81,250.03,255.13,0.56,291.94,43.33,3586.52,673.77,NA,0,NA
"421","Alcanó",2000,"Segrià",266,1.5,2.6,0,0,15.46,4.26,92.34,362.61,NA,0,NA
"422","Alcanó",2001,"Segrià",266,1.7,4.6,0.88,0,26.99,6.63,101.16,407.29,NA,0,NA
"423","Alcanó",2002,"Segrià",256,1.95,4,0.77,0.02,27.28,7.03,92.29,387.79,NA,0,NA
"424","Alcanó",2003,"Segrià",258,6.02,4.2,1.25,0,58.19,12.87,101.67,452.26,NA,0,NA
"425","Alcanó",2004,"Segrià",254,3.09,3.02,1.18,0,34.98,7.72,106.23,453.21,NA,0,NA
"426","Alcanó",2005,"Segrià",251,3.41,3.23,1.3,0.1,67.5,14.52,99.75,464.9,NA,0,NA
"427","Alcanó",2006,"Segrià",253,4.03,3.26,1.65,0,96.65,21.42,89.73,451.32,NA,0,NA
"428","Alcanó",2007,"Segrià",249,4.26,3.83,1.89,0,97.44,22.36,84.26,435.84,NA,0,NA
"429","Alcanó",2008,"Segrià",244,4.32,3.7,2.08,0,116.27,25.93,81.04,448.4,NA,0,NA
"430","Alcanó",2009,"Segrià",239,3.96,3.58,2.14,0,102.79,23.46,80.16,438.19,NA,0,NA
"431","Alcanó",2010,"Segrià",235,3.6,3,1.98,0,85.71,20.7,77.18,414.14,NA,0,NA
"432","Alcanó",2019,"Segrià",235,6.62,5.42,6.54,0.02,230.7,63.15,31.64,365.34,NA,0,NA
"433","Alcanó",2011,"Segrià",233,3.1,3.35,1.99,0.17,100.17,23.07,77.85,434.29,NA,0,NA
"434","Alcanó",2015,"Segrià",246,2.81,3,2,0.02,83.34,21.03,76.97,396.23,NA,0,NA
"435","Alcanó",2014,"Segrià",242,2.76,3.1,1.96,0,97.33,23.73,75.7,410.14,NA,0,NA
"436","Alcanó",2012,"Segrià",237,2.93,3.25,1.97,0,87.19,21.96,73.42,396.98,NA,0,NA
"437","Alcanó",2017,"Segrià",243,3.17,3.25,2.23,0.02,124.8,28.22,77.15,442.29,NA,0,NA
"438","Alcanó",2013,"Segrià",244,2.59,3.2,1.97,0,90.55,23.64,71.35,382.97,NA,0,NA
"439","Alcanó",2018,"Segrià",232,4.53,4.3,4.63,0.01,154.77,37.68,59.38,410.73,NA,0,NA
"440","Alcanó",2016,"Segrià",249,2.94,3.27,2.09,0.02,99.24,23.61,79.97,420.4,NA,0,NA
"441","Alcarràs",2000,"Segrià",4715,26.96,51.4,1.06,0.18,16.93,4.82,1577.44,351.49,"Porta a porta",0,"5"
"442","Alcarràs",2013,"Segrià",9026,95.36,118.2,68.97,0.15,62.38,17.85,2591.21,349.46,"Porta a porta",0,"5"
"443","Alcarràs",2010,"Segrià",8029,122.89,119,67.52,0,74.67,19.27,2511.07,387.42,"Porta a porta",0,"5"
"444","Alcarràs",2016,"Segrià",9297,142.55,131.43,77.93,0.66,84.78,20.55,3046.58,412.47,"Porta a porta",0,"5"
"445","Alcarràs",2017,"Segrià",9363,152.96,125.19,83.08,0.59,89.33,22.5,2880.44,396.97,"Porta a porta",0,"5"
"446","Alcarràs",2002,"Segrià",4788,35.85,60.4,14.09,0,24.02,7.53,1411.86,318.89,"Porta a porta",0,"5"
"447","Alcarràs",2009,"Segrià",7776,128.52,116.11,69.31,0,74.73,19.54,2392.1,382.36,"Porta a porta",0,"5"
"448","Alcarràs",2005,"Segrià",5241,71.63,67.84,27.19,0.25,69.06,15.75,1936.18,438.49,"Porta a porta",0,"5"
"449","Alcarràs",2011,"Segrià",8350,10.94,119.91,71.25,0.2,60.35,16.59,2532.96,363.7,"Porta a porta",0,"5"
"450","Alcarràs",2006,"Segrià",5970,95.09,76.94,38.85,0.06,73.68,19.01,1873.55,387.51,"Porta a porta",0,"5"
