Data d'inici,Municipis,Àmbit Territorial,Cens 2019,Model RS FORM domiciliaria,% població servida amb el PaP,Fraccions recollides PaP
4/11/2018,BERGA,Berguedà,16.199,Vorera i porta a porta,100,4 [FO+R+P/C+E]
14/10/2018,CASSERRES,Berguedà,1.572,Vorera i porta a porta,100,4 [FO+R+P/C+E]
14/10/2018,CERCS,Berguedà,1.152,Vorera i porta a porta,100,4 [FO+R+P/C+E]
14/10/2018,GIRONELLA,Berguedà,4.834,Vorera i porta a porta,100,4 [FO+R+P/C+E]
14/10/2018,GUARDIOLA DE BERGUEDÀ,Berguedà,887,Vorera i porta a porta,100,4 [FO+R+P/C+E]
14/10/2018,"Pobla de Lillet, la",Berguedà,1.101,Vorera i porta a porta,100,4 [FO+R+P/C+E]
14/10/2018,OLVAN,Berguedà,837,Vorera i porta a porta,100,4 [FO+R+P/C+E]
14/10/2018,PUIG-REIG,Berguedà,4.094,Vorera i porta a porta,100,4 [FO+R+P/C+E]
14/10/2018,SANT JULIÀ DE CERDANYOLA,Berguedà,244,Vorera i porta a porta,100,4 [FO+R+P/C+E]
4/11/2018,VILADA,Berguedà,430,Vorera i porta a porta,100,4 [FO+R+P/C+E]
5/10/2020,BARBERÀ DE LA CONCA,Conca de Barberà,473,Vorera i porta a porta,98,4 [FO+R+P/C+E]
19/10/2020,"espluga de francolí, l'",Conca de Barberà,3.755,Porta a porta,100,4 [FO+R+P/C+E]
1/10/2018,MONTBLANC,Conca de Barberà,7.307,Vorera i porta a porta,95,4 [FO+R+P/C+E]
1/10/2018,SANTA COLOMA DE QUERALT,Conca de Barberà,2.673,Vorera i porta a porta,98,4 [FO+R+P/C+E]
1/10/2020,SARRAL,Conca de Barberà,1.548,Vorera i porta a porta,96,4 [FO+R+P/C+E]
5/10/2020,VILAVERD,Conca de Barberà,452,Porta a porta,100,4 [FO+R+P/C+E]
19/10/2020,VIMBODÍ I POBLET,Conca de Barberà,892,Porta a porta,100,4 [FO+R+P/C+E]
15/10/2018,BESALÚ,Garrotxa,2.443,Porta a porta,100,5 [FO+R+V+P/C+E]
26/04/2013,CELRÀ,Gironès,5.155,Porta a porta,100,4 [FO+R+P/C+E]
22/05/2017,Girona,Gironès,99.013,Vorera i porta a porta,"0,65",4 [FO+R+P/C+E]
17/05/2004,LLAGOSTERA,Gironès,8.224,Vorera i porta a porta,75,4 [FO+R+P/C+E]
